uni_number,state,park,parkcode2,category,address,zipcode,phone,parkCode,acres
508,utah,Mormon Pioneer,mopi,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,MOPI,680480
509,utah,Natural Bridges,nabr,National Monument,"Lake Powell, UT",84533-0001,(435) 692-1234,NABR,1890046
510,utah,Old Spanish,olsp,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,OLSP,2572881
511,utah,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,POEX,2740208
512,utah,Rainbow Bridge,rabr,National Monument,"Page, AZ",86040,(928) 608-6200,RABR,1868290
513,utah,Timpanogos Cave,tica,National Monument,"American Fork, UT",84003,(801)756-5239,TICA,1529251
514,utah,Zion,zion,National Park,"Springdale, UT",84767,435-772-3256,ZION,1666605
515,vermont,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278,APPA,780490
516,vermont,Marsh - Billings - Rockefeller,mabi,National Historical Park,"Woodstock, VT",5091,(802) 457-3368,MABI,2757391
517,vermont,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906,NOCO,2358272
518,virgin islands,Buck Island Reef,buis,National Monument,"Christiansted, St. Croix, VI",820,(340) 773.1460,BUIS,844490
519,virgin islands,Christiansted,chri,National Historic Site,"Christiansted, VI",820,(340) 773.1460,CHRI,2067700
520,virgin islands,Salt River Bay,sari,National Historical Park and Ecological Preserve,"Christiansted, VI",820,(340) 773.1460,SARI,1970803
521,virgin islands,Virgin Islands,viis,National Park,"St. John, VI",830,(340) 776-6201,VIIS,1401255
522,virgin islands,Virgin Islands Coral Reef,vicr,National Monument,"St. John, VI",830,(340) 776-6201,VICR,2621752
523,virginia,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278,APPA,120142
524,virginia,Appomattox Court House,apco,National Historical Park,"Appomattox, VA",24522,(434) 352-8987,APCO,2167758
525,virginia,"Arlington House, The Robert  E. Lee Memorial",arho,,"McLean, VA",22101,(703) 235-1530,ARHO,1868793
526,virginia,Assateague Island,asis,National Seashore,"Berlin, MD",21811,(410) 641-1441,ASIS,2112017
527,virginia,Blue Ridge,blri,Parkway,"Asheville, NC",28803,(828) 348-3400,BLRI,110197
528,virginia,Booker T Washington,bowa,National Monument,"Hardy, VA",24101,(540) 721-2094,BOWA,2393917
529,virginia,Cape Henry Memorial,came,Part of Colonial National Historical Park,"Yorktown, VA",23690,(757) 898-2410,CAME,1488861
530,virginia,Captain John Smith Chesapeake,cajo,National Historic Trail,"Yorktown, VA",23690,(757) 898-3400,CAJO,2191082
531,virginia,Cedar Creek & Belle Grove,cebe,National Historical Park,"Middletown, VA",22645,540-869-3051,CEBE,284151
532,virginia,Chesapeake Bay,cbpo,,"Annapolis, MD",21403,(410) 260-2470,CBPO,1593739
533,virginia,Civil War Defenses of Washington,cwdw,,"Washington, DC",20008,202-829-2163,CWDW,2257045
534,virginia,Colonial,colo,National Historical Park,"Yorktown, VA",23690,(757) 898-3400,COLO,1291473
535,virginia,Cumberland Gap,cuga,National Historical Park,"Middlesboro, KY",40965,(606) 248-2817,CUGA,1294618
536,virginia,Fort Monroe,fomr,National Monument,"Fort Monroe, VA",23651-1001,757-722-FORT (3678),FOMR,513840
537,virginia,Fredericksburg & Spotsylvania,frsp,National Military Park,"Fredericksburg, VA",22405,(540) 693-3200,FRSP,587904
538,virginia,George Washington,gwmp,Memorial Parkway,"McLean, VA",22101,(703) 289-2500,GWMP,569487
539,virginia,George Washington Birthplace,gewa,National Monument,"Colonial Beach, VA",22443,(804) 224-1732,GEWA,1755569
540,virginia,Great Falls,grfa,Park,"McLean, VA",22101,(703) 757-3101,GRFA,1476621
541,virginia,Green Springs,grsp,,"Multiple Privately Owned Properties, VA",23093,(540) 693-3200,GRSP,2970151
542,virginia,Harpers Ferry,hafe,National Historical Park,"Harpers Ferry, WV",25425,(304) 535-6029,HAFE,2357207
543,virginia,Historic Jamestowne,jame,Part of Colonial National Historical Park,"Yorktown, VA",23690,757-898-3400,JAME,2345398
544,virginia,Maggie L Walker,mawa,National Historic Site,"Richmond, VA",23223,(804) 771-2017,MAWA,2070069
545,virginia,Manassas,mana,National Battlefield Park,"Manassas, VA",20109,(703) 361-1339,MANA,763218
546,virginia,Overmountain Victory,ovvi,National Historic Trail,"Gaffney, SC",29341,(864) 461-2828,OVVI,1020474
547,virginia,Petersburg,pete,National Battlefield,"Petersburg, VA",23803,(804) 732-3531,PETE,504759
548,virginia,Potomac Heritage,pohe,National Scenic Trail,"Washington, DC",20242,202-619-7154,POHE,2591452
549,virginia,Prince William Forest,prwi,Park,"Triangle, VA",22172,(703) 221-7181,PRWI,270363
550,virginia,Richmond,rich,National Battlefield Park,"Richmond, VA",23223,(804) 226-1981,RICH,2304196
551,virginia,Shenandoah,shen,National Park,"Luray, VA",22835,(540) 999-3500,SHEN,2557913
552,virginia,Star-Spangled Banner,stsp,National Historic Trail,"Baltimore, MD",21230,410.962.4290,STSP,100065
553,virginia,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006,WARO,2466033
554,virginia,Wolf Trap National Park for the Performing Arts,wotr,,"Vienna, VA",22182-1643,(703) 255-1800,WOTR,1579915
555,virginia,Yorktown Battlefield,york,Part of Colonial National Historical Park,"Yorktown, VA",23690,(757) 898-2410,YORK,1470935
556,washington,Ebey's Landing,ebla,National Historical Reserve,"Coupeville, WA",98239,(360) 678-6084,EBLA,1188447
557,washington,Fort Vancouver,fova,National Historic Site,"Vancouver, WA",98661,(360) 816-6230,FOVA,1035680
558,washington,Ice Age Floods,iafl,National Geologic Trail,"Coulee Dam, WA",99116,(509) 237-9722,IAFL,1923898
559,washington,Klondike Gold Rush - Seattle Unit,klse,National Historical Park,"Seattle, WA",98104,(206) 220-4240,KLSE,1808617
560,washington,Lake Roosevelt,laro,National Recreation Area,"Coulee Dam, WA",99116,509-754-7800,LARO,2386549
561,washington,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,2855000
562,washington,Lewis and Clark,lewi,National Historical Park,"Astoria, OR",97103,(503) 861-2471,LEWI,1365205
563,washington,Manhattan Project,mapr,National Historical Park,"Denver, CO",80225-0287,(505) 661-6277,MAPR,2910895
564,washington,Minidoka,miin,National Historic Site,"Hagerman, ID",83332,208-825-4169,MIIN,233381
565,washington,Monte Rainier,es-es,Parque nacional,"Ashford, WA",98304,(360) 569-2211,ES-ES,1589365
566,washington,Mount Rainier,mora,National Park,"Ashford, WA",98304,(360) 569-2211,MORA,2434951
567,washington,Nez Perce,nepe,National Historical Park,"Lapwai, ID",83540-9715,(208) 843-7001,NEPE,2905037
568,washington,North Cascades,noca,National Park,"Sedro-Woolley, WA",98284,(360) 854-7200,NOCA,1496190
569,washington,Olympic,olym,National Park,"Port Angeles, WA",98362,(360) 565-3130,OLYM,2986053
570,washington,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,OREG,1082432
571,washington,San Juan Island,sajh,National Historical Park,"Friday Harbor, WA",98250,(360) 378-2240,SAJH,2670901
572,washington,Whitman Mission,whmi,National Historic Site,"Walla Walla, WA",99362,(509) 522-6360,WHMI,1932078
573,washington,Wing Luke Museum,wing,Affiliated Area,"Seattle, WA",98104,206.623.5124,WING,2934402
574,west virginia,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278,APPA,280161
575,west virginia,Bluestone,blue,National Scenic River,"Glen Jean, WV",25846,(304) 465-0508,BLUE,939754
576,west virginia,Chesapeake & Ohio Canal,choh,National Historical Park,"Hagerstown, MD",21740,301-739-4200,CHOH,677699
577,west virginia,Chesapeake Bay,cbpo,,"Annapolis, MD",21403,(410) 260-2470,CBPO,1576616
578,west virginia,Gauley River,gari,National Recreation Area,"Glen Jean, WV",25846-0246,(304) 465-0508,GARI,2062068
579,west virginia,Harpers Ferry,hafe,National Historical Park,"Harpers Ferry, WV",25425,(304) 535-6029,HAFE,2477576
580,west virginia,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,1363873
581,west virginia,New River Gorge,neri,National Park and Preserve,"Glen Jean, WV",25846,(304) 465-0508,NERI,2495983
582,wisconsin,Apostle Islands,apis,National Lakeshore,"Bayfield, WI",54814,(715) 779-3397,APIS,2489794
583,wisconsin,Ice Age,iatr,National Scenic Trail,"Cross Plains, WI",53528,608-798-8700,IATR,2333524
584,wisconsin,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906,NOCO,341942
585,wisconsin,Saint Croix,sacn,National Scenic Riverway,"St. Croix Falls, WI",54024,(715) 483-2274,SACN,1901048
586,wyoming,Bighorn Canyon,bica,National Recreation Area,"Lovell, WY",82431,(307) 548-5406,BICA,836399
587,wyoming,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,CALI,731384
588,wyoming,Devils Tower,deto,National Monument,"Devils Tower, WY",82714,(307) 467-5283,DETO,631232
589,wyoming,Fort Laramie,fola,National Historic Site,"Fort Laramie, WY",82212,(307) 837-2221,FOLA,1528869
590,wyoming,Fossil Butte,fobu,National Monument,"Kemmerer, WY",83101,(307) 877-4455,FOBU,2265987
591,wyoming,Grand Teton,grte,National Park,"Moose, WY",83012,307-739-3399,GRTE,542497
592,wyoming,Mormon Pioneer,mopi,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,MOPI,1266781
593,wyoming,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,OREG,1350556
594,wyoming,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,POEX,819219
595,wyoming,Yellowstone,yell,National Park,"Yellowstone National Park, WY",82190-0168,307-344-7381,YELL,2247631
